City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,port hedland,-20.3167,118.5667,31.03,66,100,11.32,AU,1672954305
390,meulaboh,4.1363,96.1285,27.32,76,90,2.01,ID,1672962247
391,montepuez,-13.1256,38.9997,27.96,68,59,2.44,MZ,1672974209
392,palmas,-10.2128,-48.3603,25.55,21,75,0.0,BR,1672995490
393,dakar,14.6937,-17.4441,24.49,60,0,4.12,SN,1672990590
394,sinnamary,5.3833,-52.95,24.13,90,90,4.06,GF,1672998160
395,zeya,53.75,127.2667,-28.52,99,34,1.5,RU,1672962425
396,poum,-20.2333,164.0167,27.47,72,100,1.68,NC,1672943402
397,ostersund,63.1792,14.6357,-7.44,100,100,24.14,SE,1672994048
398,mount gambier,-37.8333,140.7667,18.35,64,0,4.91,AU,1672946523
399,fortuna,40.5982,-124.1573,11.19,82,100,9.77,US,1673019620
400,laguna,38.421,-121.4238,10.03,90,100,3.09,US,1673018589
401,bykovo,55.6361,38.0803,-18.8,71,0,4.0,RU,1672984482
402,salalah,17.0151,54.0924,27.05,57,75,4.12,OM,1672973666
403,kalmunai,7.4167,81.8167,26.77,78,66,5.73,LK,1672966012
404,vardo,70.3705,31.1107,-1.01,93,40,8.75,NO,0
405,bluffton,32.2371,-80.8604,9.97,79,0,0.0,US,1673007912
406,sur,22.5667,59.5289,23.87,51,34,4.77,OM,1672972985
407,gat,31.61,34.7642,15.99,100,96,4.55,IL,1672980073
408,zhigansk,66.7697,123.3711,-45.62,100,73,0.73,RU,1672971883
409,libreville,0.3925,9.4537,28.01,83,20,1.03,GA,1672982681
410,sitka,57.0531,-135.33,4.94,81,100,3.09,US,1673026636
411,panzhihua,26.5851,101.7128,17.36,48,7,0.36,CN,1672963344
412,paamiut,61.994,-49.6678,-7.71,57,81,5.78,GL,1673008630
413,cururupu,-1.8283,-44.8683,24.42,84,63,0.93,BR,1672995502
414,port lincoln,-34.7333,135.8667,19.22,70,0,5.52,AU,1672948214
415,puerto madero,14.7208,-92.4215,23.61,69,0,1.98,MX,1673008591
416,bali,-8.5,115.0,28.54,86,96,2.63,ID,1672956446
417,masakin,35.7292,10.5808,15.7,67,20,7.2,TN,1672986478
418,suntar,62.1444,117.6319,-29.04,99,100,1.73,RU,1672968609
419,blagoyevo,63.3667,47.9167,-23.7,97,87,2.83,RU,1672986213
420,marshall,34.3834,-86.3333,5.61,69,0,2.06,US,1673009535
421,saint marys,30.7305,-81.5465,13.01,78,0,2.06,US,1673007868
422,sangar,63.9242,127.4739,-38.65,98,76,1.29,RU,1672967596
